 (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (-5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (-5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (-5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (-5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (5.0000000000e-01+0.0000000000e+00j), (-5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (-5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j)
 (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00-5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+0.0000000000e+00j), (0.0000000000e+00+5.0000000000e-01j), (5.0000000000e-01+0.0000000000e+00j)
